"Entry Id","Sports (e.g. Baseball, Football, ...)","Crime Data (e.g. FBI Database)","Health - fitness","Health - diseases","Movies (e.g. ratings, box office revenues, ...)","Climate/Environment/Weather","Traveling (e.g. flight delays, tarmac waits, airport performance, ...)","Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)","Salaries - economics, financial data","Global issues: comparison across countries","Other topic(s)","Description","Date Created","Created By","Last Updated","Updated By","IP Address","Last Page Accessed","Completion Status"
"625","Like it","Like it","Like it","Like it","Don't like it that much","Like it very much","Favorite","Like it very much","Like it","Like it very much","Agricultural studies","Test of products to control plant diseases for example.","2019-08-27 10:35:07","public","","","129.186.251.101","1","1"
"626","Favorite","Like it very much","Favorite","Like it very much","Favorite","Favorite","Favorite","Favorite","Favorite","Like it very much","","Looks like I like all of them","2019-08-27 10:35:22","public","","","129.186.251.101","1","1"
"627","Like it very much","Like it","Like it very much","Like it very much","Don't like it that much","Favorite","Like it","Like it","Like it","Favorite","agriculture in general","yield trends for both crops and animals, genetics/breeding as in large data sets of thousands of animals and tens of thousands of genetic markers.","2019-08-27 10:35:46","public","","","129.186.248.97","1","1"
"628","Don't like it that much","Like it","Like it","Like it very much","Don't like it that much","Don't like it that much","Like it","Don't like it that much","Like it","Like it","genomics","gene expression analysis, genome assembly visualization, etc.","2019-08-27 10:35:46","public","","","65.112.8.28","1","1"
"629","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2019-08-27 10:35:50","public","","","129.186.251.101","1","1"
"630","Like it very much","Like it","Like it","Like it","Like it","Like it","Like it","Don't like it that much","Don't like it that much","Like it","Anything related to livestock production","Swine/ Cattle heath parameters, production data, disease incidence. 

National Pork Board might have some to use? Pork information gateway?","2019-08-27 10:35:54","public","","","129.186.251.101","1","1"
"631","Like it very much","Don't like it that much","Don't like it that much","Favorite","Don't like it that much","Don't like it that much","Like it very much","Favorite","Like it very much","Don't like it that much","","","2019-08-27 10:35:54","public","","","148.188.192.12","1","1"
"632","Like it","Like it very much","Favorite","Favorite","Like it very much","Like it very much","Favorite","Like it very much","Favorite","Like it very much","","","2019-08-27 10:35:59","public","","","129.186.251.101","1","1"
"633","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2019-08-27 10:36:02","public","","","129.186.251.101","1","1"
"634","Like it very much","Favorite","Don't like it that much","Don't like it that much","Like it","Like it","Like it","Like it","Don't like it that much","Don't like it that much","Gambling","Use of gambling data that is available for sports like football or baseball (among others)","2019-08-27 10:36:04","public","","","129.186.251.101","1","1"
"635","Favorite","Like it very much","Don't like it that much","Like it","Like it","Like it","Don't like it that much","Like it","Like it very much","Don't like it that much","Social Good","List of cool projects: https://dssg.uchicago.edu/projects/","2019-08-27 10:36:06","public","","","129.186.248.97","1","1"
"636","Like it very much","Don't like it that much","Like it","Like it","Like it","Favorite","Like it very much","Favorite","Like it","Like it very much","Forest, soils","Area of native forest and commercial forest plantations, where are located, in which type of soils are established","2019-08-27 10:36:17","public","","","129.186.248.87","1","1"
"637","Favorite","Favorite","Favorite","Favorite","Favorite","Don't like it that much","Favorite","Favorite","Favorite","Don't like it that much","","","2019-08-27 10:36:41","public","","","129.186.251.101","1","1"
"638","Favorite","Favorite","Favorite","Like it very much","Favorite","Favorite","Favorite","Favorite","Like it very much","Favorite","Demographics data","Population, life expectancy, mortality rates, birth rates. ","2019-08-27 10:37:27","public","","","129.186.251.101","1","1"
"639","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Favorite","Favorite","Don't like it that much","","","2019-08-27 10:43:41","public","","","129.186.248.97","1","1"
"640","Don't like it that much","Like it","Like it very much","Favorite","Like it very much","Favorite","Like it very much","Favorite","Favorite","Like it","","","2019-08-27 10:48:05","public","","","107.77.83.99","1","1"
"641","Like it","Like it very much","Don't like it that much","Don't like it that much","Like it very much","Like it","Like it","Don't like it that much","Like it","Like it","","","2019-08-27 17:26:50","public","","","173.24.204.210","1","1"
"642","Like it very much","Favorite","Don't like it that much","Like it","Don't like it that much","Like it very much","Like it","Like it","Don't like it that much","Like it","","","2019-08-29 10:51:15","public","","","129.186.252.53","1","1"
"643","Don't like it that much","Favorite","Don't like it that much","Favorite","Like it","Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","","","2019-08-29 10:52:09","public","","","129.186.251.31","1","1"
"644","Like it very much","Like it","Don't like it that much","Don't like it that much","Like it","Like it very much","Like it very much","Like it very much","Favorite","Favorite","","","2019-08-29 10:52:27","public","","","129.186.252.53","1","1"
"645","Don't like it that much","Like it","Like it","Like it","Don't like it that much","Like it very much","Don't like it that much","Like it very much","Favorite","Like it","","","2019-08-29 10:52:28","public","","","129.186.252.53","1","1"
"646","Favorite","Like it","Don't like it that much","Like it very much","Like it","Like it very much","Don't like it that much","Like it","Like it very much","Like it","","","2019-08-29 10:52:45","public","","","129.186.252.53","1","1"
"647","Favorite","Like it very much","Favorite","Favorite","Like it very much","Favorite","Favorite","Favorite","Favorite","Favorite","Video Games and Esports","Industry or game company revenue. Also viewership trends. How public or media perceive the gaming industry? The rise of streams on Twitch, Mixer, or Youtube.","2019-08-29 10:52:54","public","","","129.186.252.53","1","1"
"648","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Like it very much","Like it very much","Don't like it that much","Favorite","Like it","Like it very much","Engineering, Physics","","2019-08-29 10:52:57","public","","","129.186.252.53","1","1"
"649","Like it very much","Favorite","Like it very much","Don't like it that much","Like it very much","Like it very much","Don't like it that much","Don't like it that much","Like it very much","Favorite","","","2019-08-29 10:53:06","public","","","129.186.252.53","1","1"
"650","Like it very much","Like it very much","Don't like it that much","Like it","Don't like it that much","Like it very much","Like it very much","Like it","Favorite","Like it","Time series data","","2019-08-29 10:53:09","public","","","129.186.252.53","1","1"
"651","Don't like it that much","Favorite","Like it","Like it very much","Like it","Like it","Like it very much","Like it very much","Favorite","Like it very much","car crash data","marked points (latitude, longitude, information about the crash)","2019-08-29 10:53:23","public","","","129.186.252.53","1","1"
"652","Don't like it that much","Don't like it that much","Like it very much","Like it","Favorite","Favorite","Like it very much","Like it very much","Like it very much","Like it very much","","","2019-08-29 10:53:55","public","","","129.186.251.31","1","1"
"653","Favorite","Don't like it that much","Like it very much","Don't like it that much","Favorite","Like it very much","Favorite","Like it","Favorite","Like it","","","2019-08-29 10:54:13","public","","","129.186.252.53","1","1"
