"","Entry.Id","Sports..e.g..Baseball..Football......","Crime.Data..e.g..FBI.Database.","Health...fitness","Health...diseases","Movies..e.g..ratings..box.office.revenues......","Climate.Environment.Weather","Traveling..e.g..flight.delays..tarmac.waits..airport.performance......","Environmental.Data..e.g..pollution..fuel.economy..CO2.emissions......","Salaries...economics..financial.data","Global.issues..comparison.across.countries","Other.topic.s.","Description","Date.Created","Created.By","Last.Updated","Updated.By","IP.Address","Last.Page.Accessed","Completion.Status"
"12",509,"Favorite","Favorite","Don't like it that much","Favorite","Like it","Don't like it that much","Like it","Don't like it that much","Favorite","Like it very much","","","2018-01-09 08:20:45","public",NA,NA,"129.186.253.202",1,1
"13",510,"Favorite","Favorite","Favorite","Like it very much","Like it","Like it","Like it","Like it","Favorite","Like it","","","2018-01-09 08:20:45","public",NA,NA,"129.186.253.142",1,1
"14",511,"Favorite","Favorite","Favorite","Favorite","Like it very much","Favorite","Like it very much","Favorite","Like it very much","Favorite","","","2018-01-09 08:20:45","public",NA,NA,"129.186.251.172",1,1
"15",512,"Don't like it that much","Favorite","Like it","Like it very much","Favorite","Favorite","Favorite","Like it very much","Like it very much","Favorite","","","2018-01-09 08:20:46","public",NA,NA,"129.186.253.142",1,1
"16",513,"Favorite","Like it very much","Don't like it that much","Don't like it that much","Favorite","Like it very much","Like it","Don't like it that much","Favorite","Like it","","","2018-01-09 08:20:54","public",NA,NA,"129.186.251.21",1,1
"17",514,"Don't like it that much","Favorite","Like it","Favorite","Favorite","Like it very much","Like it","Favorite","Like it","Favorite","","","2018-01-09 08:21:01","public",NA,NA,"129.186.253.202",1,1
"18",515,"Like it very much","Like it","Favorite","Like it very much","Like it very much","Like it","Like it very much","Like it","Like it","Like it very much","","","2018-01-09 08:21:02","public",NA,NA,"129.186.253.142",1,1
"19",516,"Favorite","Like it","Favorite","Like it","Like it very much","Don't like it that much","Favorite","Don't like it that much","Like it very much","Don't like it that much","","","2018-01-09 08:21:07","public",NA,NA,"129.186.253.142",1,1
"20",517,"Favorite","Like it very much","Don't like it that much","Don't like it that much","Favorite","Like it","Like it","Like it very much","Like it","Favorite","","","2018-01-09 08:21:10","public",NA,NA,"129.186.253.202",1,1
"21",518,"Favorite","Don't like it that much","Don't like it that much","Don't like it that much","Like it very much","Like it very much","Like it very much","Like it very much","Like it","Like it","","","2018-01-09 08:21:12","public",NA,NA,"129.186.253.202",1,1
"22",519,"Don't like it that much","Favorite","Like it","Like it","Like it very much","Like it very much","Favorite","Like it","Don't like it that much","Like it","","","2018-01-09 08:21:12","public",NA,NA,"129.186.253.142",1,1
"23",520,"Favorite","Favorite","Favorite","Like it","Favorite","Like it","Like it","Don't like it that much","Favorite","Like it very much","","","2018-01-09 08:21:16","public",NA,NA,"129.186.253.202",1,1
"24",521,"Favorite","Don't like it that much","Like it","Favorite","Like it very much","Like it","Don't like it that much","Favorite","Favorite","Favorite","","","2018-01-09 08:21:20","public",NA,NA,"129.186.253.142",1,1
"25",522,"Don't like it that much","Like it very much","Like it very much","Like it","Like it","Don't like it that much","Favorite","Don't like it that much","Favorite","Like it very much","","","2018-01-09 08:21:22","public",NA,NA,"129.186.253.202",1,1
"26",523,"Favorite","Favorite","Like it very much","Like it very much","Favorite","Like it","Don't like it that much","Favorite","Favorite","Don't like it that much","","","2018-01-09 08:21:22","public",NA,NA,"129.186.253.142",1,1
"27",524,"Like it","Like it","Like it very much","Like it","Favorite","Like it","Favorite","Like it very much","Like it very much","Like it","","","2018-01-09 08:21:34","public",NA,NA,"129.186.253.202",1,1
"28",525,"Like it very much","Like it","Like it","Don't like it that much","Like it very much","Don't like it that much","Don't like it that much","Don't like it that much","Like it very much","Don't like it that much","","","2018-01-09 08:21:35","public",NA,NA,"129.186.253.142",1,1
"29",526,"Like it very much","Don't like it that much","Don't like it that much","Like it very much","Don't like it that much","Like it","Like it","Don't like it that much","Like it very much","Favorite","","","2018-01-09 08:21:44","public",NA,NA,"129.186.253.202",1,1
"30",527,"Don't like it that much","Like it","Favorite","Favorite","Like it very much","Like it very much","Favorite","Like it very much","Favorite","Like it","","","2018-01-09 08:21:47","public",NA,NA,"129.186.253.202",1,1
"31",528,"Favorite","Like it very much","Like it very much","Don't like it that much","Like it very much","Like it","Like it","Don't like it that much","Don't like it that much","Like it","","","2018-01-09 08:21:47","public",NA,NA,"129.186.251.172",1,1
"32",529,"Favorite","Like it very much","Don't like it that much","Don't like it that much","Favorite","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","","","2018-01-09 08:21:49","public",NA,NA,"129.186.251.21",1,1
"33",530,"Like it very much","Like it very much","Favorite","Like it very much","Like it","Like it","Favorite","Like it","Like it very much","Like it","","","2018-01-09 08:21:51","public",NA,NA,"129.186.253.202",1,1
"34",531,"Favorite","Favorite","Favorite","Favorite","Favorite","Like it very much","Favorite","Favorite","Favorite","Favorite","","","2018-01-09 08:22:01","public",NA,NA,"129.186.253.202",1,1
"35",532,"Don't like it that much","Like it","Favorite","Favorite","Don't like it that much","Like it","Like it very much","Don't like it that much","Don't like it that much","Like it","","","2018-01-09 08:22:02","public",NA,NA,"129.186.253.142",1,1
"36",533,"Don't like it that much","Favorite","Like it","Like it very much","Like it","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Like it","","","2018-01-09 08:22:11","public",NA,NA,"129.186.253.202",1,1
"37",534,"Like it","Like it","Like it","Like it","Favorite","Like it","Like it very much","Like it","Like it very much","Like it","N/A","I only have an interest in a Movie.
It is my favorite.
I want to know what has an effect on box office.
Thank you.","2018-01-09 08:22:20","public",NA,NA,"129.186.251.172",1,1
"38",535,"Don't like it that much","Like it very much","Like it very much","Favorite","Like it","Like it very much","Don't like it that much","Like it","Like it","Like it very much","Music","","2018-01-09 08:22:26","public",NA,NA,"129.186.251.21",1,1
"39",536,"Like it very much","Don't like it that much","Like it","Like it","Like it very much","Like it","Favorite","Don't like it that much","Don't like it that much","Favorite","music","","2018-01-09 08:22:28","public",NA,NA,"129.186.253.142",1,1
"40",537,"Like it","Like it very much","Like it very much","Like it very much","Don't like it that much","Like it very much","Like it very much","Like it","Like it very much","Don't like it that much","Supply chain/network data","Predict whether or not shipments will leave or arrive late, find inefficiencies in the supply chain and determine the root cause of such inefficiencies.

I have seen a similar data set on Kaggle.","2018-01-09 08:22:42","public",NA,NA,"129.186.253.202",1,1
"41",538,"Like it","Favorite","Favorite","Favorite","Favorite","Like it","Favorite","Like it very much","Favorite","Like it","","","2018-01-09 08:22:43","public",NA,NA,"129.186.253.202",1,1
"42",539,"Don't like it that much","Don't like it that much","Like it","Favorite","Don't like it that much","Don't like it that much","Favorite","Don't like it that much","Favorite","Favorite","employment","Like how employment and unemployment switch, how people want to work, does the education rate effect a lot","2018-01-09 08:22:45","public",NA,NA,"129.186.253.202",1,1
"43",540,"Don't like it that much","Don't like it that much","Like it very much","Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","data from FAO website","","2018-01-09 08:22:49","public",NA,NA,"129.186.251.21",1,1
"44",541,"Don't like it that much","Favorite","Favorite","Favorite","Like it","Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","music","Because we look at sound data then a possible data category could be music","2018-01-09 08:22:53","public",NA,NA,"129.186.253.202",1,1
"45",542,"Like it very much","Like it very much","Don't like it that much","Don't like it that much","Don't like it that much","Like it very much","Like it very much","Don't like it that much","Favorite","Like it","stock prices ","","2018-01-09 08:22:58","public",NA,NA,"129.186.253.202",1,1
"46",543,"Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Like it","Video Games","This could involve studying review scores or sales data, potentially demographic studies.  The only source for sales data off the top of my head would be VGCharts, but I'm not sure how accurate that data is.","2018-01-09 08:23:02","public",NA,NA,"129.186.253.202",1,1
"47",544,"Like it","Like it","Like it","Like it very much","Like it very much","Like it very much","Like it very much","Like it very much","Like it very much","Like it","Supermarket/Purchasing Analytics","See various food sales/demographics/locations/effects on performance","2018-01-09 08:23:03","public",NA,NA,"129.186.253.202",1,1
"48",545,"Don't like it that much","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2018-01-09 08:23:15","public",NA,NA,"129.186.253.142",1,1
"49",546,"Like it","Favorite","Like it","Like it very much","Favorite","Like it","Don't like it that much","Like it","Don't like it that much","Like it","","","2018-01-09 08:24:24","public",NA,NA,"129.186.253.202",1,1
