Entry Id,Date Created,Created By,Date Updated,Updated By,IP Address,Last Page Accessed,Completion Status,"Sports (e.g. Baseball, Football, ...)",Crime Data (e.g. FBI Database),Health - fitness,"Movies (e.g. ratings, box office revenues, ...)",Climate/Environment/Weather,"Traveling (e.g. flight delays, tarmac waits, airport performance, ...)",Health - diseases,"Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)","Salaries - economics, financial data",Global issues: comparison across countries,Other topic(s),Description
745,8/29/23 11:28,public,,,129.186.251.52,1,1,Don't like it that much,Like it,Don't like it that much,Don't like it that much,Like it,Don't like it that much,Like it,Like it very much,Like it very much,Like it very much,"Housing, Urban Development, Transportation, Infrastructure","The only one I can think of as hosting a complete dataset are the Housing data based on different city types and populations (i.e, American Housing Survey). The ACS also contains information on city types and populations as well as information on transportation related questions.
"
744,8/29/23 11:28,public,,,129.186.192.130,1,1,Like it,Don't like it that much,Like it very much,Don't like it that much,Don't like it that much,Don't like it that much,Like it very much,Don't like it that much,Favorite,Don't like it that much,,
743,8/29/23 11:27,public,,,129.186.251.8,1,1,Don't like it that much,Like it,Don't like it that much,Favorite,Like it very much,Don't like it that much,Don't like it that much,Like it very much,Favorite,Favorite,,
742,8/29/23 11:27,public,,,129.186.251.8,1,1,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,"agricultural data, genetics",
741,8/29/23 11:27,public,,,129.186.251.8,1,1,Don't like it that much,Like it,Like it very much,Like it very much,Like it very much,Favorite,Like it very much,Favorite,Favorite,Favorite,Data related to common research trends (maybe related to the some of the students' background in class)?,
740,8/29/23 11:27,public,,,129.186.251.156,1,1,Like it,Like it,Like it very much,Don't like it that much,Like it very much,Like it,Favorite,Like it,Like it very much,Favorite,,
739,8/29/23 11:27,public,,,129.186.192.232,1,1,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,,"I think they are all my favorite, and happy to study with the data set for sure."
738,8/29/23 11:27,public,,,129.186.251.156,1,1,Don't like it that much,Favorite,Favorite,Don't like it that much,Favorite,Favorite,Favorite,Favorite,Don't like it that much,Favorite,,
737,8/29/23 11:27,public,,,129.186.251.8,1,1,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,,
736,8/29/23 11:27,public,,,129.186.251.156,1,1,Don't like it that much,Like it,Like it very much,Like it very much,Like it very much,Don't like it that much,Like it very much,Favorite,Like it,Favorite,Topics that demonstrate continuous data ,Ex: How does someone rate their reading ability in German over time?
735,8/29/23 11:27,public,,,129.186.251.156,1,1,Favorite,Favorite,Favorite,Like it,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,,
734,8/29/23 11:27,public,,,129.186.251.156,1,1,Don't like it that much,Don't like it that much,Like it very much,Like it very much,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,Like it very much,,
733,8/29/23 11:27,public,,,129.186.192.146,1,1,Don't like it that much,Like it very much,Like it very much,Like it very much,Like it very much,Don't like it that much,Like it very much,Like it,Like it,Like it very much,"Media Use, Media Effects",
732,8/29/23 11:27,public,,,129.186.192.202,1,1,Don't like it that much,Like it,Like it very much,Favorite,Like it very much,Like it,Like it very much,Like it very much,Like it,Favorite,,
731,8/29/23 11:27,public,,,129.186.251.156,1,1,Don't like it that much,Like it very much,Like it very much,Don't like it that much,Favorite,Like it very much,Like it very much,Like it very much,Favorite,Favorite,"engineering, manufacturing",
730,8/29/23 11:27,public,,,129.186.192.130,1,1,Like it,Favorite,Like it,Favorite,Don't like it that much,Like it very much,Favorite,Like it,Like it,Like it very much,,
729,8/29/23 11:26,public,,,129.186.251.36,1,1,Don't like it that much,Like it,Like it very much,Like it very much,Favorite,Don't like it that much,Like it very much,Favorite,Like it,Like it very much,,
728,8/29/23 11:26,public,,,129.186.192.138,1,1,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Auto racing data,"Could be something like race wins, years with a team, career podiums, top 5's, or top 10's, etc."
727,8/29/23 11:26,public,,,129.186.251.8,1,1,Don't like it that much,Like it very much,Like it,Favorite,Don't like it that much,Like it very much,Like it very much,Don't like it that much,Favorite,Don't like it that much,,
726,8/29/23 11:25,public,,,129.186.251.8,1,1,Like it,Like it,Favorite,Like it,Don't like it that much,Like it very much,Favorite,Don't like it that much,Don't like it that much,Don't like it that much,,
725,8/29/23 11:25,public,,,129.186.251.8,1,1,Like it,Like it very much,Favorite,Favorite,Like it very much,Like it,Like it very much,Don't like it that much,Don't like it that much,Don't like it that much,"cognitive abilities, languages spoken around the world",
724,8/29/23 11:05,public,,,129.186.251.156,1,1,Like it,Favorite,Favorite,Like it,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,,
